id;Movie;Budget;Box office;Release year;Rating;Popularity;Director;Producer
92;Insomnia;46000000;113714830;2002;6.9;16.577;Christopher Nolan;Paul Junger Witt, Edward McDonnell, Broderick Johnson, Andrew A. Kosove
93;Kung Fu Hustle;20000000;101434304;2004;7.3;16.535;Stephen Chow;Stephen Chow, Po Chu Chui, Jeffrey Lau
94;Crank;12000000;42931041;2006;6.6;16.518;Brian Taylor, Mark Neveldine;Tom Rosenberg, Gary Lucchesi, Skip Williamson, Michael Davis
95;Traffic;48000000;207515725;2000;7.0;16.26;Steven Soderbergh;Edward Zwick, Marshall Herskovitz, Laura Bickford
96;Fargo;7000000;60611975;1996;7.9;16.243;Joel Coen, Ethan Coen;Joel Coen, Ethan Coen
97;Ted Bundy;1200000;68716;2002;5.8;16.24;Matthew Bright;Michael Muscal
98;Four Rooms;4000000;4257354;1995;5.9;16.188;Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino;Lawrence Bender
99;The Talented Mr. Ripley;40000000;128798265;1999;7.2;16.175;Anthony Minghella;Tom Sternberg, William Horberg
100;Smokin' Aces;17000000;57103895;2006;6.5;15.966;Joe Carnahan;Tim Bevan, Eric Fellner
101;In Bruges;15000000;34533783;2008;7.5;15.945;Martin McDonagh;Graham Broadbent, Peter Czernin
102;Ocean's Thirteen;85000000;311312624;2007;6.7;15.898;Steven Soderbergh;Jerry Weintraub
103;Saw III;10000000;163876815;2006;6.4;15.843;Darren Lynn Bousman;Mark Burg, Oren Koules
104;Home Alone 2: Lost in New York;18000000;358994850;1992;6.6;15.834;Chris Columbus;John Hughes
105;21 Grams;20000000;60427839;2003;7.3;15.767;Alejandro González Iñárritu;Alejandro González Iñárritu, Guillermo Arriaga, Robert Salerno
106;The Girl Who Kicked the Hornet's Nest;4000000;43498108;2009;7.0;15.721;Daniel Alfredson;Søren Stærmose
107;A History of Violence;32000000;60740827;2005;7.2;15.542;David Cronenberg;Chris Bender, J.C. Spink
108;The Life of David Gale;50000000;38955598;2003;7.4;15.539;Alan Parker;Nicolas Cage, Alan Parker
109;Memories of Murder;2800000;26000000;2003;8.1;15.492;Bong Joon-ho;Tcha Sung-jai, Kim Moo-ryoung, Noh Jong-yun
110;Wanted;75000000;258270008;2008;6.5;15.408;Timur Bekmambetov;Iain Smith, Jim Lemley, Marc Platt, Jason Netter
111;Lucky Number Slevin;27000000;56308881;2006;7.5;15.408;Paul McGuigan;Andreas Grosch, Christopher Roberts, Anthony Rhulen, Kia Jam, Christopher Eberts, Tyler Mitchell, Robert Kravis
112;The Whole Nine Yards;41300000;106371651;2000;6.4;15.375;Jonathan Lynn;Allan Kaufman, David Willis
113;The Boondock Saints;6000000;30471;1999;7.3;15.362;Troy Duffy;Elie Samaha, Lloyd Segan, Chris Brinker, Robert N. Fried
114;Kiss Kiss Bang Bang;15000000;15785148;2005;7.2;15.33;Shane Black;Joel Silver, Jessica Alan, Carrie Morrow
115;Match Point;15000000;85306374;2005;7.3;15.239;Woody Allen;Letty Aronson, Nicky Kentish Barnes, Stephen Tenenbaum, Gareth Wiley
116;American Gangster;100000000;266465037;2007;7.6;15.234;Ridley Scott;Brian Grazer, Ridley Scott
117;Sleepers;44000000;165615285;1996;7.5;15.216;Barry Levinson;Steve Golin, Barry Levinson, Lorenzo Carcaterra, Gerrit van der Meer
118;Desperado;7000000;25405445;1995;6.8;15.15;Robert Rodriguez;Robert Rodriguez, Bill Borden
119;Gone Baby Gone;19000000;34619699;2007;7.3;15.147;Ben Affleck;Alan Ladd, Jr., Sean Bailey, Danton Rissner
120;Cape Fear;35000000;182300000;1991;7.3;15.109;Martin Scorsese;Robert De Niro, Barbara De Fina
